"house_id","date","price","latitude","longitude","bed","bath","sqft","sqft_lot","property_type"
1,11563,1675000,34.09133,-118.428382,5,5,3964,14375,4
2,12188,799000,34.111449,-118.437742,3,2,1713,7985,4
3,12950,993000,34.111674,-118.437504,2,2,1413,5048,4
4,12853,676000,34.110641,-118.437045,2,2,450,5425,4
4,14453,320000,34.110641,-118.437045,2,2,450,5425,4
5,11934,599000,34.110835,-118.437106,3,2,1450,17860,4
5,11956,599000,34.110835,-118.437106,3,2,1450,17860,4
6,12205,7e+05,34.111767,-118.437722,3,3,2000,6823,4
6,16100,889000,34.111767,-118.437722,3,3,2000,6823,4
7,14006,789000,34.111029,-118.437429,2,2,1200,5837,4
8,15300,10274000,34.086093,-118.416382,4,6,9663,29185,4
9,11493,2350000,34.085877,-118.409023,3,5,4891,29621,4
10,15678,8995000,34.094387,-118.398599,3,6,6011,35719,4
11,15729,2.3e+07,34.08488,-118.414057,7,9,19590,87556,4
12,11680,925000,34.093859,-118.396956,7,9,10000,45302,4
12,11871,2625000,34.093859,-118.396956,7,9,10000,45302,4
13,11890,1767500,34.091102,-118.428577,5,5,4271,12197,4
14,11249,2090000,34.090642,-118.427665,5,6,5122,12632,4
14,12034,2063500,34.090642,-118.427665,5,6,5122,12632,4
15,15231,911000,34.111721,-118.438418,2,3,1935,13068,4
16,14400,4391000,34.083338,-118.427058,4,3.5,4840,9694,4
16,14866,3750000,34.083338,-118.427058,4,3.5,4840,9694,4
17,12829,4095000,34.093796,-118.399482,5,6,5000,41382,4
17,15140,2175000,34.093796,-118.399482,5,6,5000,41382,4
17,16035,4775000,34.093796,-118.399482,5,6,5000,41382,4
18,11123,1626000,34.085693,-118.413249,7,9,10100,21344,4
19,12766,3750000,34.086357,-118.411801,5,5.5,5866,18731,4
19,15492,5115000,34.086357,-118.411801,5,5.5,5866,18731,4
20,15097,23079500,34.08058,-118.421498,5,10,9068,80586,4
21,11442,755000,34.110895,-118.438218,2,2,1464,7200,4
21,11446,755000,34.110895,-118.438218,2,2,1464,7200,4
21,12737,875000,34.110895,-118.438218,2,2,1464,7200,4
21,12761,875000,34.110895,-118.438218,2,2,1464,7200,4
21,13621,1085000,34.110895,-118.438218,2,2,1464,7200,4
21,13665,1085000,34.110895,-118.438218,2,2,1464,7200,4
21,15142,635000,34.110895,-118.438218,2,2,1464,7200,4
22,12662,1090000,34.112015,-118.438269,3,2,1326,10019,4
23,15345,275000,34.111296,-118.438076,1,1,676,8063,4
24,11855,776000,34.110951,-118.438358,3,2.5,2490,5682,4
24,15664,1020000,34.110951,-118.438358,3,2.5,2490,5682,4
25,14643,1395000,34.111386,-118.438302,4,3.5,2833,8015,4
25,14663,1395000,34.111386,-118.438302,4,3.5,2833,8015,4
25,15734,1750000,34.111386,-118.438302,4,3.5,2833,8015,4
25,15762,1750000,34.111386,-118.438302,4,3.5,2833,8015,4
26,11108,695000,34.111916,-118.438744,3,3,2964,7100,4
26,12398,1062000,34.111916,-118.438744,3,3,2964,7100,4
26,13502,1525000,34.111916,-118.438744,3,3,2964,7100,4
26,13524,1525000,34.111916,-118.438744,3,3,2964,7100,4
26,15720,1600000,34.111916,-118.438744,3,3,2964,7100,4
27,11165,357000,34.111001,-118.438602,2,1.5,764,6142,4
27,12941,711000,34.111001,-118.438602,2,1.5,764,6142,4
27,15247,474900,34.111001,-118.438602,2,1.5,764,6142,4
28,10696,620000,34.111441,-118.438525,3,3.5,2312,8102,4
28,11554,690000,34.111441,-118.438525,3,3.5,2312,8102,4
28,15404,915000,34.111441,-118.438525,3,3.5,2312,8102,4
28,15406,915000,34.111441,-118.438525,3,3.5,2312,8102,4
29,13901,7455000,34.08377,-118.419382,4,6,7000,22651,4
30,13235,5630000,34.086102,-118.412503,6,6.5,7957,25700,4
30,13284,5630056,34.086102,-118.412503,6,6.5,7957,25700,4
30,15670,4850000,34.086102,-118.412503,6,6.5,7957,25700,4
30,15679,4850000,34.086102,-118.412503,6,6.5,7957,25700,4
31,15747,5700000,34.086641,-118.410966,5,5,4509,34412,4
32,12838,1525000,34.092055,-118.430486,2,2,1921,9888,4
33,10977,465000,34.112054,-118.439104,2,2,1952,5489,4
33,12838,875000,34.112054,-118.439104,2,2,1952,5489,4
34,10708,675000,34.112419,-118.438763,3,2,1359,9365,4
34,12880,1250000,34.112419,-118.438763,3,2,1359,9365,4
34,14776,720000,34.112419,-118.438763,3,2,1359,9365,4
35,14776,720000,34.112533,-118.438817,3,2,1359,9350,4
36,12506,890000,34.112195,-118.439209,3,4,1433,4182,4
36,15575,8e+05,34.112195,-118.439209,3,4,1433,4182,4
37,14369,3095000,34.08659,-118.411921,6,8,7906,18731,4
38,10639,755000,34.092286,-118.430623,3,3,2471,15682,4
38,14580,1700000,34.092286,-118.430623,3,3,2471,15682,4
39,11646,605000,34.094312,-118.431432,2,2,1965,11761,4
40,10617,2e+06,34.086413,-118.412602,4,5,5000,19166,4
41,11169,4750000,34.093591,-118.396186,5,5.5,10000,52272,4
41,15149,3.5e+07,34.093591,-118.396186,5,5.5,10000,52272,4
42,15653,5750000,34.087058,-118.411179,5,6,4872,30928,4
43,12326,3250000,34.085071,-118.421313,4,6,6852,20909,4
43,13782,5300000,34.085071,-118.421313,4,6,6852,20909,4
44,11894,9e+05,34.09516,-118.432401,3,3,2844,52272,4
44,11897,9e+05,34.09516,-118.432401,3,3,2844,52272,4
44,12152,1080000,34.09516,-118.432401,3,3,2844,52272,4
45,12226,775000,34.11285,-118.439059,3,3,3000,8015,4
45,12227,785000,34.11285,-118.439059,3,3,3000,8015,4
46,11879,760000,34.111615,-118.438889,3,3,1829,8105,4
47,14068,1215000,34.111366,-118.439227,3,3,2590,4704,4
47,14711,1200000,34.111366,-118.439227,3,3,2590,4704,4
47,14753,1200000,34.111366,-118.439227,3,3,2590,4704,4
48,13411,1150000,34.111456,-118.439366,3,2.5,2046,5851,4
48,15506,990000,34.111456,-118.439366,3,2.5,2046,5851,4
49,12760,1010000,34.11295,-118.439182,2,3,2400,6708,4
50,16297,16500000,34.082534,-118.420399,8,11,10379,40075,4
51,13936,13200000,34.084768,-118.415281,8,9.5,15000,30928,4
51,14624,15975000,34.084768,-118.415281,8,9.5,15000,30928,4
52,16016,1700000,34.111688,-118.439668,3,2.5,2100,13068,4
53,14704,1870000,34.111839,-118.439901,3,3.5,2850,14810,4
53,16531,2625000,34.111839,-118.439901,3,3.5,2850,14810,4
54,13244,1100000,34.113161,-118.439381,2,1,1102,6839,4
55,11128,375000,34.112167,-118.439412,2,1.5,1022,4075,4
55,12619,660000,34.112167,-118.439412,2,1.5,1022,4075,4
